,id,text
47,1352994419092451328,"🟣🔵 Trabzonspor yenilmezlik serisini Gençlerbirliği deplasmanında 5 maça çıkardı: 1⃣-2⃣

⚽️ 36' Djaniny Tavares
⚽️ 5… https://t.co/pSZTyjOfFQ"
48,1352994371679956993,"Maç sonucu | Gençlerbirliği 1-2 Trabzonspor

⚽36' Djaniny
⚽54' Ekuban
⚽86' Piris(P)

Trabzonspor son 5 maçta 4. gal… https://t.co/u3Rpk7dvVV"
49,1352994366655225856,"RT @skorermilliyet: MAÇ SONUCU: Gençlerbirliği 1-2 Trabzonspor 

36' Djaniny
54' Ekuban
86' Piris (penaltı)"
50,1352994362062417921,"Gençlerbirliği 1-2 Trabzonspor
Karşılaşma sona erdi
⚽️86' Piris (pen.)

⚽️36’ Djaniny
⚽️54’ Ekuban https://t.co/WXJ5AhwqCB"
51,1352994192818135040,"⚽86' R. Piris (P)

⚽36' Djaniny
⚽54' Ekuban

Gençlerbirliği 1-2 Trabzonspor

🔊Maç Sonucu https://t.co/4vJxkgsphI"
52,1352994180864364547,"Trabzonspor deplasmanda Gençlerbirliği'ni 2-1'lik skorla yendi. 

⚽️ 36' Djaniny
⚽️ 54' Ekuban
⚽️ 86' Piris (penalt… https://t.co/zaqA9sr1JC"
53,1352994121196122113,"MS : Gençlerbirliği 1-2 Trabzonspor

⚽️ 36' Djaniny
⚽️ 54' Ekuban
⚽️ 86.' Robert Piris (Pen.)"
54,1352994115915575298,"MAÇ SONUCU: Gençlerbirliği 1-2 Trabzonspor 

36' Djaniny
54' Ekuban
86' Piris (penaltı)"
55,1352994056905875457,"MS | Gençlerbirliği 1-2 Trabzonspor
⚽ 36' Djaniny
⚽ 54' Ekuban 
⚽ 86' Piris (P) https://t.co/ucIejBF3Uy"
56,1352994049842704385,"Trabzonspor, Gençlerbirliği'ni 2-1 mağlup ederek çıkışını sürdürdü ve 33 puanla 5. sıraya yükseldi!

⚽36' Djaniny
⚽… https://t.co/zIrV0UeCZE"
57,1352994032109182976,"Süper Lig'de 21.haftanın açılış maçında Trabzonspor, deplasmanda Gençlerbirliği'ni Djaniny ve Ekuban'ın golleriyle… https://t.co/MG8kUtpbE7"
58,1352993976274604032,"MS| Gençlerbirliği 1-2 Trabzonspor

⚽ Djaniny
⚽ Ekuban

⚽ Piris (p)"
59,1352993967055495172,"RT @golvideolari_2: GOL! Robert Piris ! dk'85 Pen.
Gençlerbirliği 1-2 Trabzonspor
------------------------------
Tüm goller ve önemli pozis…"
60,1352993960441094144,"RT @EnSuperLig: 86' Gençlerbirliği 1-2 Trabzonspor

Gol: Piris (penaltı)"
61,1352993947199668225,"Yüzler bir türlü gülmüyor…

Gençlerbirliği, Süper Lig’in ilk yarısının son maçında Trabzonspor’a 2-1 mağlup olarak… https://t.co/97Zik00zZY"
62,1352993937699598343,"RT @tribundergi: MS Gençlerbirliği 1 - Trabzonspor 2

⚽36' Djaniny
⚽54' Ekuban
⚽85' Piris (P)

— Trabzonspor, son 4 maçtaki 3. galibiyetini…"
63,1352993934419636227,"🔴Maç sona erdi

◉ Gençlerbirliği-Trabzonspor: 1-2
⚽36' Djaniny
⚽54' Ekuban
⚽86' Piris(pen.) https://t.co/RlCS3vZvWE"
64,1352993929961107457,"MS | Gençlerbirliği 1-2 Trabzonspor

⚽ 36' Djaniny
⚽ 54' Ekuban
⚽ 86' Piris (P) https://t.co/8r1GcTURfn"
65,1352993919383040002,"⏰ Karşılaşma sona erdi!

🔘 Gençlerbirliği 1-2 Trabzonspor

⚽️ 36' Djaniny
⚽️ 54' Ekuban
⚽️ 86' Piris (P) https://t.co/IiP69B1hXh"
66,1352993915796934656,"/// Gençlerbirliği 1-2 Trabzonspor 

          📢 MAÇ SONUCU 

⚽️Dk.36  Jorge Djaniny
⚽️Dk.54  Caleb Ekuban
⚽️Dk.86… https://t.co/bBWNTs1TlM"
